MOVIE_ID,PROVIDER,TITLE,PUBLISH TIME,DB ENTRY TIME,URL 
71,Rogerbert,Killers Anonymous,Fri Jun 28 2019 15:31:04 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:48:03 GMT+0200 (Central European Summer Time),https://www.rogerebert.com/reviews/killers-anonymous-2019
72,Rogerbert,Three Peaks,Fri Jun 28 2019 15:31:00 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:48:03 GMT+0200 (Central European Summer Time),https://www.rogerebert.com/reviews/three-peaks-2019
73,Rogerbert,The Other Story,Fri Jun 28 2019 15:30:52 GMT+0200 (Central European Summer Time),Sun Jun 30 2019 14:48:03 GMT+0200 (Central European Summer Time),https://www.rogerebert.com/reviews/the-other-story-2019
74,Boollywood,Rani Mukerji starrer Hichki goes global to be screened at Giffoni Film Festival!,Fri Jun 28 2019 14:10:34 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/rani-mukerji-starrer-hichki-goes-global-screened-giffoni-film-festival/
75,Boollywood,Bhushan Kumar’s T Series acquires the music rights of Salman Khan starrer Dabangg 3,Fri Jun 28 2019 14:05:53 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/bhushan-kumars-t-series-acquires-music-rights-salman-khan-starrer-dabangg-3/
76,Boollywood,REVEALED: Plot details of Kiara Advani’s Guilty,Fri Jun 28 2019 12:50:56 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/revealed-plot-details-kiara-advanis-guilty/
77,Boollywood,This is why Irrfan Khan has been re reading his past scripts on the sets of Angrezi Medium,Fri Jun 28 2019 09:53:38 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/irrfan-khan-re-reading-past-scripts-sets-angrezi-medium/
78,Boollywood,Disha Patani   Tiger Shroff SPLIT reports are FALSE,Fri Jun 28 2019 08:17:35 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/disha-patani-tiger-shroff-split-reports-false/
79,Boollywood,Ishaan Khatter denies being part of Ishq Vishq 2,Fri Jun 28 2019 07:58:47 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/ishaan-khatter-denies-part-ishq-vishq-2/
80,Boollywood,Ishaan Khatter OPTS OUT of Vishal Bharadwaj’s next left with no project in hand,Fri Jun 28 2019 05:54:51 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/ishaan-khatter-opts-vishal-bharadwajs-next-left-no-project-hand/
81,Boollywood,Nushrat Bharucha shakes a leg with Sidharth Malhotra for Marjaavaan  pic   deets inside,Fri Jun 28 2019 05:48:40 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/nushrat-bharucha-shakes-leg-sidharth-malhotra-marjaavaan-pic-deets-inside/
82,Boollywood,Aditya Pancholi booked under RAPE ABUSE   EXTORTION charges; Rangoli Chandel claims he extorted Rs 1 crore from Kangana Ranaut,Fri Jun 28 2019 05:27:03 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/aditya-pancholi-booked-rape-abuse-extortion-charges/
83,Boollywood,Tamannaah Bhatia ROPED in for Bole Chudiyan opposite Nawazuddin Siddiqui after Mouni Roy’s exit,Fri Jun 28 2019 05:19:34 GMT+0200 (Central European Summer Time),Mon Jul 01 2019 08:36:48 GMT+0200 (Central European Summer Time), https://www.bollywoodhungama.com/news/bollywood/tamannaah-bhatia-roped-in-for-bole-chudiyan-opposite-nawazuddin-siddiqui-after-mouni-roys-exit/
